folio,sign,central_figure_description,eva_word,read_word,mismatch,position,word_layer,later_hand_annotation,confidence,crop_file,notes
f70v1,Pisces,"two fish, one above the other",,,0,,none-voynichese,mars(?),med,canvas_1006200_overview.jpg,
f70v2,Aries-A,"horned ram/goat, green body, standing",otolal,otolal,0,under,voynichese,abril(?),high,canvas_1006201_full.jpg,
f71r,Aries-B,"pale ram lying, small figure feeding/crowning it",,,0,,none-voynichese,"(later hand, illegible)",high,canvas_1006202_full.jpg,
f71v,Taurus-A,red-brown horned quadruped eating from a green manger,,,0,,none-voynichese,(later hand),high,f71v_region.jpg,
f72r1,Taurus-B,red bull eating from a green basket/manger,,,0,,none-voynichese,(later hand),high,f72r1_region.jpg,
f72r2,Gemini,man (green) and woman (blue) clasping hands,,,0,,none-voynichese,(later hand),high,f72r2_region.jpg,
f72r3,Cancer,"two crayfish/lobsters, head-to-tail",,,0,,none-voynichese,(later hand),high,f72r3_region.jpg,
f72v1,Leo,"maned quadruped (lion), standing",,,0,,none-voynichese,augst,high,f72v1_region.jpg,
f72v2,Virgo,single blue-clad maiden holding a star/attribute,,,0,,none-voynichese,(later hand),high,f72v2_region.jpg,
f72v3,Libra,a beam balance / pair of scales (blue pans),,,0,,none-voynichese,(later hand),high,f72v3_region.jpg,
f73r,Scorpio,reptilian/scorpion-like creature (per sequence),,,0,,none-voynichese,(later hand),med,canvas_1006206_full.jpg,
f73v,Sagittarius,blue-clad human crossbowman aiming,,,0,,none-voynichese,(later hand),high,canvas_1006207_full.jpg,
